No.	Name	Description	Version	Popularity	Likes	Stars	Forks	Issues	Owner	Publisher	License	Last Commit	Repository URL
144	walletconnect_dart	Open protocol for connecting decentralised applications to mobile wallets with QR code scanning or deep linking.	0.0.11	92.86023929252644	91	87	52	28	RootSoft		MIT	2022-11-05T16:26:26.000Z	https://github.com/RootSoft/walletconnect-dart-sdk
145	kana_kit	A Dart library for for detecting and transliterating Hiragana, Katakana, and Romaji.	2.0.0	92.83856424484134	24	25	5	4	jeroen-meijer	jfk.dev	MIT	2022-06-06T00:39:41.000Z	https://github.com/jeroen-meijer/kana_kit
146	dartdoc	A non-interactive HTML documentation generator for Dart source code.	6.1.5	92.82989422576729	116	415	113	259	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-20T05:39:05.000Z	https://github.com/dart-lang/dartdoc
147	gql_exec	Basis for GraphQL execution layer to support Link and Client.	0.4.3	92.7475290445639	0	240	100	57	gql-dart	gql-dart.dev	MIT	2022-12-21T18:48:29.000Z	https://github.com/gql-dart/gql
148	dio_logger	Simple logging library for DIO requests. Prints request and response information to a console.	4.0.8+8	92.63915380613838	18	6	3	0	Defuera		BSD-3-Clause	2022-10-31T09:21:19.000Z	https://github.com/Defuera/dio_logger
149	gql_transform_link	GQL Link to transform Requests and Responses. May be used to update context, document, variables, data, errors, etc.	0.2.2+1	92.4787584532686	0	240	100	57	gql-dart	gql-dart.dev	MIT	2022-12-21T18:48:29.000Z	https://github.com/gql-dart/gql
150	week_of_year	Adds extension method to get the ISO 8601 week of year from a date	2.0.0	92.47442344373158	32	12	1	1	KadaDev	kada.se	BSD-3-Clause	2021-03-28T17:15:40.000Z	https://github.com/KadaDev/week_of_year
151	throttling	Contain "throttling" and "debouncing" async helper classes with listeners	1.0.0	92.37038321484307	25	35	3	0	PlugFox	plugfox.dev	MIT	2021-03-08T13:16:46.000Z	https://github.com/PlugFox/throttling
152	unsplash_client	Unsplash provides free high-resolution photos. This is a client for their REST API.	2.1.0+3	92.34870816715797	45	17	5	5	blaugold	gabriel.terwesten.net	BSD-3-Clause	2022-11-16T22:27:39.000Z	https://github.com/blaugold/unsplash_client
153	crypton	A simple Dart library for asymmetric encryption and digital signatures	2.1.0	92.30535807178775	51	28	9	2	konstantinullrich	konstantinullrich.de	MIT	2022-10-28T11:44:43.000Z	https://github.com/konstantinullrich/crypton
154	uri	Utilities for building and parsing URIs, including support for parsing URI templates as defined in RFC 6570.	1.0.0	92.24033292873244	18	70	51	8	google	google.dev	BSD-3-Clause	2022-07-14T13:38:15.000Z	https://github.com/google/uri.dart
155	gql_error_link	GQL Link to handle execution errors and exceptions	0.2.3+1	92.17530778567713	1	240	100	57	gql-dart	gql-dart.dev	MIT	2022-12-21T18:48:29.000Z	https://github.com/gql-dart/gql
156	barcode_image	Barcode generation library for Dart that can generate barcodes using the image library.	2.0.2	92.11895266169586	46	89	26	7	DavBfr	nfet.net	Apache-2.0	2022-12-07T16:49:31.000Z	https://github.com/DavBfr/dart_barcode
157	shelf_cors_headers	CORS headers middleware for Shelf.	0.1.4	92.06259753771458	22	6	2	1	lenniezelk		MIT	2022-09-27T11:09:12.000Z	https://github.com/lenniezelk/shelf-cors-headers
158	profanity_filter	Simple filter to check and censor strings against profanity, obscene words. A default English words list is provided (LDNOOBW).	2.0.0	91.98890237558523	72	13	7	3	roshanrahman		BSD-2-Clause	2021-06-29T16:56:38.000Z	https://github.com/roshanrahman/profanity_filter
159	azure_application_insights	A Dart client to integrate with Azure's Application Insights service	3.1.0	91.96722732790012	29	7	5	0	kentcb	kent-boogaart.com	MIT	2022-11-26T00:14:55.000Z	https://github.com/kentcb/azure_application_insights
160	polylabel	A fast algorithm for finding polygon pole of inaccessibility implemented as a Dart library.  Useful for optimal placement of a text label on a polygon.	1.0.1	91.95855730882609	7	2	2	0	beroso	beroso.dev	BSD-3-Clause	2022-08-15T15:26:33.000Z	https://github.com/beroso/dart_polylabel
161	flutter_rust_bridge	High-level memory-safe binding generator for Flutter/Dart <-> Rust	1.56.0	91.94555228021501	115	2081	125	52	fzyzcjy	cjycode.com	MIT	2022-12-22T00:12:27.000Z	https://github.com/fzyzcjy/flutter_rust_bridge
162	ftpconnect	Simple and robust dart FTP Connect Library to interact with FTP Servers.	2.0.2	91.70279174614184	78	49	27	5	salim-lachdhaf	salimdev.ovh	MIT	2022-11-20T17:43:55.000Z	https://github.com/salim-lachdhaf/ftpConnect
163	linter	The implementation of the lint rules supported by the analyzer framework. This package is not intended to be used directly.	1.30.0	91.65510664123461	67	559	158	672	dart-lang	tools.dart.dev	BSD-3-Clause	2022-12-22T05:37:52.000Z	https://github.com/dart-lang/linter
164	environment_config	Environment specific config generator. Allows to specify env configuration during CI/CD build. Primarily created to simplify Flutter build configuration	3.1.0	91.61609155540143	81	86	7	8	TatsuUkraine		BSD-3-Clause	2022-05-26T10:57:47.000Z	https://github.com/TatsuUkraine/dart_environment_config
165	scidart	Cross-platform scientific library for Dart. The main goal of SciDart is run where Dart can run, in other words, run on Flutter, Dart CLI, Dart web, etc.	0.0.2-dev.12	91.56407144095718	93	139	18	3	scidart		Apache-2.0	2022-12-21T23:26:48.000Z	https://github.com/scidart/scidart
166	basics	A Dart library containing convenient extension methods on basic Dart objects.	0.9.0	91.51205132651292	76	150	14	3	google	google.dev	BSD-3-Clause	2022-11-01T15:09:23.000Z	https://github.com/google/dart-basics
167	dart_geohash	A simple encode, decode, and neighbor finder for longitude/latitude and geohash.	2.0.2	91.46870123114272	28	6	11	0	nfrawley93	frawley.me	MIT	2022-02-02T01:41:03.000Z	https://github.com/nfrawley93/dart_geohash
168	http2	A HTTP/2 implementation in Dart.	2.0.1	91.45136119299463	51	137	43	24	dart-lang	dart.dev	BSD-3-Clause	2022-12-15T02:04:06.000Z	https://github.com/dart-lang/http2
169	dart_frog	A fast, minimalistic backend framework for Dart built by Very Good Ventures.	0.3.1	91.3820010404023	377	1030	65	18	VeryGoodOpenSource	verygood.ventures	MIT	2022-12-22T07:37:08.000Z	https://github.com/VeryGoodOpenSource/dart_frog
170	download	Cross-Platform file downloader for Dart and Flutter projects.	0.0.1+1	91.29096584012485	37	4	2	4	xclud	pwa.ir	MIT	2021-09-02T08:05:23.000Z	https://github.com/xclud/dart_download
171	just_debounce_it	A simple debounce library for preventing continuous execution of functions	4.1.0	91.28663083058782	16	8	0	2	mhrst	qrl.app	MIT	2022-05-03T18:37:20.000Z	https://github.com/mhrst/just_debounce_it
172	build_version	A builder for extracting a package version into code.	2.1.1	91.24761574475464	15	39	9	4	kevmoo	j832.com	BSD-3-Clause	2022-11-09T20:21:14.000Z	https://github.com/kevmoo/build_version
173	system_info2	Provides easy access to useful information about the system (architecture, bitness, kernel, memory, operating system, CPU, user).	2.0.4	91.2389457256806	29	10	4	0	onepub-dev	onepub.dev	BSD-3-Clause	2022-06-03T05:10:41.000Z	https://github.com/onepub-dev/system_info
174	dio_http_formatter	A Dio interceptor for pretty printing the HTTP request/response to be printed in the console for easier debugging	2.1.0	91.15224553494018	23	8	4	2	assemmarwan		MIT	2022-03-26T10:31:23.000Z	https://github.com/assemmarwan/dio_http_formatter
175	optional	An implementation of the Optional type, which helps avoid dealing with null references	6.1.0+1	91.12623547771805	32	35	7	0	tonio-ramirez	tech42solutions.com	BSD-2-Clause	2022-04-12T10:57:45.000Z	https://github.com/tonio-ramirez/optional.dart
176	instant	A package that exports functions for converting, formatting, and nicening of dates/times in Dart.	0.4.1	91.0958904109589	27	10	3	5	AKushWarrior	kishoredev.live	AGPL-3.0	2021-03-07T05:36:50.000Z	https://github.com/AKushWarrior/instant
177	ffigen	Generator for FFI bindings, using LibClang to parse C header files.	7.2.4	91.09155540142189	162	288	39	69	dart-lang	tools.dart.dev	NOASSERTION	2022-12-16T08:25:30.000Z	https://github.com/dart-lang/ffigen
178	hasura_connect	Connect your Flutter/Dart apps to Hasura simply. All the power of GraphQL and Postgres in Flutter.	4.0.0+4	91.06988035373678	194	202	57	14	Flutterando	flutterando.com.br	MIT	2022-11-16T08:36:59.000Z	https://github.com/Flutterando/hasura_connect/tree/master/packages/hasura_connect
179	fraction	A package that helps you working with fractions and mixed fractions.	4.1.4	90.97884515345935	39	14	3	0	albertodev01	fluttercompletereference.com	MIT	2022-08-30T23:20:40.000Z	https://github.com/albertodev01/fraction
180	mocktail_image_network	A Dart package which allows you to mock Image.network in your widget tests with confidence using the mocktail package.	0.3.1	90.75342465753424	33	428	63	22	felangel	felangel.dev	MIT	2022-12-06T12:35:53.000Z	https://github.com/felangel/mocktail
181	steel_crypt	A comprehensive library of high-level, cryptographic APIs. This library supports hashing, password hashing, two-way encryption, MAC authentication, and key/IV generation.	3.0.0+1	90.59302930466447	69	41	10	8	AKushWarrior	kishoredev.live	MPL-2.0	2021-04-21T01:19:01.000Z	https://github.com/AKushWarrior/steel_crypt
182	ferry_hive_store	Hive-based Store implementation for Ferry GraphQL client	0.5.0	90.3936188659615	4	480	90	52	gql-dart	gql-dart.dev	MIT	2022-12-19T20:07:48.000Z	https://github.com/gql-dart/ferry
183	udp	Lightweight, efficient, and easy-to-use UDP library for Dart. Supports Unicast, Broadcast, Multicast and Loopback communications.	5.0.3	90.35460378012831	52	40	16	7	xenoken		BSD-3-Clause	2022-03-27T12:21:20.000Z	https://github.com/xenoken/udp
184	serverpod	Serverpod is an open-source, scalable app server, written in Dart for the Flutter community.	0.9.21	90.33726374198024	234	991	71	75	serverpod	serverpod.dev	BSD-3-Clause	2022-12-20T14:46:18.000Z	https://github.com/serverpod/serverpod
185	socket_io	Port of JS/Node library Socket.io. It enables real-time, bidirectional and  event-based communication cross-platform.	1.0.1	90.27657360846194	107	109	30	10	rikulo		MIT	2021-09-09T02:49:35.000Z	https://github.com/rikulo/socket.io-dart
186	pedantic_mono	[mono edition] Recommended lints for Flutter apps, packages, and plugins to encourage good coding practices.	1.20.1	90.24189353216578	55	62	21	0	mono0926	mono0926.com	MIT	2022-12-17T19:29:39.000Z	https://github.com/mono0926/pedantic_mono
187	cider	Tools for Dart package maintainers. Automates changelog and pubspec.yaml updates.	0.1.3	90.21154846540662	80	69	10	7	f3ath	karapetov.com	MIT	2022-12-17T23:10:13.000Z	https://github.com/f3ath/cider
188	dart_frog_gen	Code generation tooling for Dart Frog. Built by Very Good Ventures.	0.3.0	90.15519334142536	11	1030	65	18	VeryGoodOpenSource	verygood.ventures	MIT	2022-12-22T07:37:08.000Z	https://github.com/VeryGoodOpenSource/dart_frog
189	eth_sig_util	Ethereum signature utility porting from JS	0.0.9	90.13785330327727	15	13	11	5	wakumo		MIT	2022-12-13T05:02:10.000Z	https://github.com/wakumo/eth-sig-util
190	os_detect	Platform independent OS detection.	2.0.1	90.09016819837004	18	13	6	2	dart-lang	dart.dev	BSD-3-Clause	2022-11-15T20:27:18.000Z	https://github.com/dart-lang/os_detect
191	multiple_result	Multiple results for dart. Inspired by dartz's Either and Kotlin's sealed classes	4.0.0	90.08149817929599	78	29	7	0	higorlapa		MIT	2022-12-21T18:03:08.000Z	https://github.com/higorlapa/result
192	functions_framework	FaaS (Function as a service) framework for writing portable Dart functions	0.4.1	89.96878793133345	124	484	49	26	GoogleCloudPlatform	cloud.google.com	Apache-2.0	2022-11-30T03:47:21.000Z	https://github.com/GoogleCloudPlatform/functions-framework-dart
193	objectid	Blazing fast, cross-platform ObjectId implementation for the dart language.	2.1.0	89.92543783596324	26	6	1	0	gonuit	klyta.it	MIT	2022-06-15T16:22:07.000Z	https://github.com/gonuit/dart_objectid
194	mysql_client	Native MySQL client written in Dart. Tested with MySQL Percona Server (5.7, 8), MariaDB (10). Supports TLS.	0.0.27	89.83440263568579	79	46	11	10	zim32		BSD-3-Clause	2022-12-20T17:09:36.000Z	https://github.com/zim32/mysql.dart
195	speed_test_dart	Internet speed tester (ping, upload, download) using speedtest.net	1.0.4+1	89.6046471302237	6	2	3	0	jorger5	jrincondev.com	NOASSERTION	2022-10-03T16:37:56.000Z	https://github.com/jorger5/speed_test_dart
196	either_option	The simple library for Error Handling with functionnal programming concept	2.0.0	89.58297208253857	39	34	8	1	cbyad		MIT	2022-10-31T09:36:48.000Z	https://github.com/cbyad/either_option
197	gql_code_builder	Dart code builders taking *.graphql documents and SDL to build useful classes.	0.7.0	89.50060690133517	2	240	100	57	gql-dart	gql-dart.dev	MIT	2022-12-21T18:48:29.000Z	https://github.com/gql-dart/gql
198	yaml_edit	A library for YAML manipulation with comment and whitespace preservation.	2.0.3	89.46159181550199	17	16	5	7	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-10T11:31:16.000Z	https://github.com/dart-lang/yaml_edit
199	list_ext	Dart extension methods for Iterable and List. You can easily sum, count elements and many more.	1.0.6	89.44425177735391	33	10	2	0	Innim	innim.ru	BSD-3-Clause	2022-10-04T06:24:39.000Z	https://github.com/Innim/dart_list_extensions
200	git	Git command line wrapper. Exposes a Git directory abstraction that makes it easy to inspect and manipulate a local Git repository.	2.2.0	89.30119646263222	28	112	16	15	kevmoo	j832.com	BSD-2-Clause	2022-11-09T23:27:57.000Z	https://github.com/kevmoo/git
201	serverpod_client	Base classes for communication with the server.	0.9.21	89.20582625281776	5	991	71	75	serverpod	serverpod.dev	BSD-3-Clause	2022-12-20T14:46:18.000Z	https://github.com/serverpod/serverpod
202	aes_crypt	Dart encryption library for encrypting/decrypting files, plain text and binary data in AES Crypt file format.	0.1.1	89.11479105254033	83	27	22	17	alexgoussev	alexgusev.com	MIT	2022-03-19T07:11:46.000Z	https://github.com/alexgoussev/aes_crypt
203	gql_dedupe_link	GQL Link to deduplicate identical in-flight execution requests	2.0.3+1	89.10612103346628	1	240	100	57	gql-dart	gql-dart.dev	MIT	2022-12-21T18:48:29.000Z	https://github.com/gql-dart/gql
204	ed25519_hd_key	BIP-0032 like derivation for ed25519 curve	2.2.0	88.80700537541183	9	12	6	1	alepop	alepop.dev	MIT	2021-09-16T06:40:18.000Z	https://github.com/alepop/dart-ed25519-hd-key
205	faker_dart	generate massive amounts of fake data in Dart & Flutter! A dart port of the famous faker.js	0.1.11	88.68996011791226	60	26	5	0	casvanluijtelaar	casvanluijtelaar.com	NOASSERTION	2022-11-02T15:24:41.000Z	https://github.com/casvanluijtelaar/faker.dart
